ID Parent,Kode Indikator,Nama Indikator,Parent/ Child,Definisi,Rumus Perhitungan,Klasifikasi,Satuan,Indikator RPJPN,Indikator RPJMN,Indikator SDGs,Indikator SIPD,Tagging RAD,Has Child?
213,01.01.003,Indeks Survei dan Pemetaan Hidro-Oseanografi,Parent,"Luas wilayah perairan pedalaman, perariran kepulauan dan laut teritorial Indonesia yang terpetakan dibagi dengan luas total wilayah perairan pedalaman, perariran kepulauan dan laut teritorial Indonesia","Formulasi penghitungan: 
 (? A : ? B) x 100%
 
 ? A = Jumlah luas wilayah perairan pedalaman, perariran kepulauan dan laut teritorial Indonesia yang terpetakan
 ? B = Total luas wilayah perairan pedalaman, perariran kepulauan dan laut teritorial Indonesia","Wilayah Administrasi: Nasional, Provinsi",persen,,02.06.01.05 - Indeks Survei dan Pemetaan Hidro-Oseanografi,,,PERTAHANAN,No
1028,01.01.004,Persentase Kader Bela Negara yang Telah Terbentuk,Parent,Persentase jumlah Kader Bela Negara yang telah terbentuk dibandingkan dengan target atau kebutuhan yang ditetapkan. Kader Bela Negara adalah Warga Negara Indonesia yang telah mengikuti rangkaian program Pembinaan Kesadaran Bela Negara (PKBN) dan memiliki sikap serta perilaku yang sesuai dengan nilai-nilai Bela Negara.,Persentase Kader Bela Negara yang Telah Terbentuk = Jumlah Kader Bela Negara yang Terbentuk/Target Jumlah Kader Bela Negara)×100%,,persen,,02.03.01.01.01 - Persentase Kader Bela Negara yang Telah Terbentuk,,,PERTAHANAN,No
1051,01.01.005,Persentase Kelulusan Komponen Cadangan dengan Nilai Baik,Parent,"Persentase anggota Komponen Cadangan (Komcad) yang lulus pelatihan dengan predikat nilai ""Baik"". Komcad adalah sumber daya manusia yang disiapkan untuk memperkuat Tentara Nasional Indonesia (TNI) dalam menghadapi ancaman militer, yang pembentukannya diatur oleh Kementerian Pertahanan","Persentase kelulusan dengan nilai ""Baik"" = (Jumlah anggota Komcad dengan nilai ""Baik""/Total anggota Komcad yang lulus)×100%",,persen,,02.03.01.01.02 - Persentase Kelulusan Komponen Cadangan dengan Nilai Baik,,,PERTAHANAN,No
1173,01.01.006,Persentase Pemenuhan Alutsista,Parent,Persentase Kekuatan Pokok Alutsista Strategis yang Siap Operasi,"Formulasi Perhitungan:
(? A : ? B) x 100%   

? A = Jumlah realisasi tahapan pengadaan Alutsista Strategis
? B = Jumlah target rencana tahapan pengadaan Alutsista Strategis",,persen,,02.01.01.01.01 - Persentase Pemenuhan Alutsista,,,PERTAHANAN,No
1175,01.01.007,Persentase Pemenuhan Harwat Alutsista,Parent,Mengukur sejauh mana kegiatan pemeliharaan dan perawatan (harwat) alat utama sistem persenjataan (alutsista) telah dilaksanakan sesuai dengan rencana yang ditetapkan. Alutsista mencakup setiap jenis materiil yang merupakan alat utama sistem senjata beserta perlengkapannya yang digunakan untuk melengkapi kebutuhan pokok komponen utama pertahanan negara.,Persentase Pemenuhan Harwat Alutsista = (Jumlah kegiatan harwat yang terlaksana/Jumlah kegiatan harwat yang direncanakan)×100%,,persen,,02.01.05.01.01 - Persentase Pemenuhan Harwat Alutsista,,,PERTAHANAN,No
1179,01.01.008,Persentase Pemenuhan Pembangunan Kekuatan Pokok TNI,Parent,"Indikator ini mengukur sejauh mana pencapaian pembangunan Kekuatan Pokok Optimum (Optimum Essential Force/OEF) Tentara Nasional Indonesia (TNI) telah terlaksana sesuai dengan perencanaan. OEF merupakan standar kekuatan pokok optimum TNI yang harus disiapkan guna menunjang tugas pokok dan fungsi TNI secara efektif dalam menghadapi ancaman yang sesungguhnya.
  ","[{(? A/? B)x100%} + {(? C/? D)x100%} + {(? E/? F)x100%} + {(? G/? H)x100%}] / 4

? A = Jumlah realisasi Alutsista siap operasi.
? B = Target jumlah Alutsista siap operasi.
? C = Jumlah realisasi Non Alutsista siap operasi.
? D = Target jumlah Non Alutsista siap operasi.
? E = Jumlah realisasi Sarpras siap operasi.
? F = Target jumlah Sarpras siap operasi.
? G = Jumlah realisasi personel TNI
? H = Target jumlah personel TNI",,persen,,02.01.01.01 - Persentase Pemenuhan Pembangunan Kekuatan Pokok TNI,,,PERTAHANAN,No
1180,01.01.009,Persentase Pemenuhan Peralatan dan Sarpras Penyelenggaraan Hidro Oseanografi,Parent,"Indikator ini mengukur tingkat ketersediaan peralatan dan sarana prasarana yang diperlukan untuk mendukung kegiatan hidro-oseanografi, termasuk survei, pemetaan, dan penelitian kondisi perairan.","Rumus Perhitungan:

Persentase Pemenuhan =
(Jumlah Peralatan dan Sarpras yang Tersedia/Jumlah Peralatan dan Sarpras yang Dibutuhkan)
×
100 %

Di mana:
- Jumlah Peralatan dan Sarpras yang Tersedia: Total peralatan dan sarana prasarana yang saat ini dimiliki dan siap digunakan untuk penyelenggaraan hidro-oseanografi.
- Jumlah Peralatan dan Sarpras yang Dibutuhkan: Total peralatan dan sarana prasarana yang diperlukan sesuai dengan standar operasional atau kebutuhan ideal untuk mendukung kegiatan hidro-oseanografi.",,persen,,02.06.05.01.02 - Persentase Pemenuhan Peralatan dan Sarpras Penyelenggaraan Hidro Oseanografi,,,PERTAHANAN,No
1184,01.01.010,Persentase Pemenuhan Sarpras Rumah Dinas,Parent,"Tingkat ketersediaan fasilitas dan infrastruktur yang diperlukan untuk mendukung fungsi optimal rumah dinas sebagai tempat tinggal resmi bagi pegawai negeri atau pejabat pemerintah. Sarana mencakup fasilitas penunjang seperti pusat perbelanjaan, pelayanan umum, pendidikan, kesehatan, tempat ibadah, rekreasi, dan olahraga, sedangkan prasarana meliputi kelengkapan dasar fisik lingkungan seperti penyediaan air minum, pembuangan sampah, listrik, telepon, dan jalan yang memungkinkan lingkungan permukiman berfungsi sebagaimana mestinya.","Rumus Perhitungan:

Persentase Pemenuhan =
(Jumlah Sarpras Rumah Dinas yang Tersedia/Jumlah Sarpras Rumah Dinas yang Dibutuhkan)
×
100 %

Keterangan Variabel:
- Jumlah Sarpras Rumah Dinas yang Tersedia ? Total sarpras yang sudah ada dan berfungsi dalam rumah dinas.
- Jumlah Sarpras Rumah Dinas yang Dibutuhkan ? Total sarpras yang idealnya harus tersedia sesuai dengan standar yang berlaku.",,persen,,02.01.04.01.01 - Persentase Pemenuhan Sarpras Rumah Dinas,,,PERTAHANAN,No
1203,01.01.011,Persentase Penataan dan Pembinaan Komponen Pendukung,Parent,"Indikator ini mengukur sejauh mana upaya penataan dan pembinaan komponen pendukung telah dilaksanakan dalam mendukung fungsi utama suatu sistem atau organisasi. Komponen pendukung dapat mencakup sumber daya manusia, sarana dan prasarana, serta sumber daya alam dan buatan yang perannya berfungsi meningkatkan kekuatan dan kemampuan komponen utama dan cadangan.","Rumus Perhitungan:

Persentase Penataan dan Pembinaan =
(Jumlah Komponen Pendukung yang Telah Ditata dan Dibina/Jumlah Komponen Pendukung yang Ditargetkan)
×
100 %

Keterangan Variabel:
- Jumlah Komponen Pendukung yang Telah Ditata dan Dibina ? Total komponen yang telah menjalani proses penataan dan pembinaan sesuai standar atau kebijakan yang berlaku.
- Jumlah Komponen Pendukung yang Ditargetkan ? Total komponen pendukung yang seharusnya ditata dan dibina dalam periode tertentu.",,persen,,02.03.02.01.01 - Persentase Penataan dan Pembinaan Komponen Pendukung,,,PERTAHANAN,No
1252,01.01.012,"Persentase Pengadaan, Pemeliharaan dan Perawatan Alpalhankam yang Melibatkan Industri Pertahanan",Parent,"Indikator ini mengukur sejauh mana keterlibatan industri pertahanan dalam proses pengadaan, pemeliharaan, dan perawatan Alpalhankam. Indikator ini mencerminkan tingkat kemandirian dan kapasitas industri pertahanan nasional dalam mendukung kebutuhan Alpalhankam.","(A + B) / 2

A = Persentase pengadaan Alpalhankam yang melibatkan Industri Pertahanan

B = Persentase pemeliharaan dan perawatan Alpalhankam yang melibatkan Industri Pertahanan
",,persen,,"02.02.02.01.01 - Persentase Pengadaan, Pemeliharaan dan Perawatan Alpalhankam yang Melibatkan Industri Pertahanan",,,PERTAHANAN,No
