Kode SDS,Nama Data,,Konsep,,Definisi,Penyajian,Isian,Ukuran,Satuan,,
10110067,Distribusi Persentase Keluarga,,[K00829] Keluarga;,,Bagian dari populasi  keluarga yang disajikan dalam kelompok-kelompok atau disagregasi tertentu sehingga dapat menggambarkan distribusi keluarga.,[32010026] Wilayah;,-,Persentase,persen,,
10110009,Distribusi Persentase Penduduk,,[K01476] Penduduk;,,Bagian dari populasi penduduk yang disajikan dalam golongan tertentu.,[32010026] Wilayah;,-,Persentase,persen,,
10110068,Indeks Karakter Remaja,,[K02363] Karakter;,,"Angka yang menggambarkan akhlak atau budi pekerti, tabiat, atau watak seseorang yang berumur 10—18 tahun, yang mengacu pada perilaku yang baik dan tidak baik atau berdampak buruk pada dirinya.",[32010026] Wilayah;,-,Indeks,-,,
10110069,Indeks Kerentanan Keluarga,,[K00829] Keluarga;,,"Angka yang menggambarkan kerentanan dalam aspek keharmonisan keluarga, pemenuhan kebutuhan dasar, dan interaksi keluarga.",[32010026] Wilayah;,-,Indeks,-,,
10110010,Indeks Kualitas Keluarga,,[K00829] Keluarga;,,"Angka yang menggambarkan pencapaian kualitas keluarga yang ditentukan dari dimensi kualitas legalitas struktur, kualitas ketahanan fisik, kualitas ketahanan ekonomi, kualitas ketahanan sosial psikologi, dan kualitas ketahanan sosial budaya dalam mewujudkan kesetaraan gender dan hak anak.",[32010026] Wilayah;,-,Indeks,-,,
10110070,Indeks Lansia Tangguh,,[K01055] Orang Lanjut Usia (Lansia);,,"Angka yang menggambarkan seorang atau sekelompok orang berusia 60 tahun ke atas yang mampu beradaptasi terhadap proses penuaan secara positif, sehat secara fisik, sosial, dan mental sehingga masa tuanya berkualitas, aktif, mandiri, dan produktif, yang diukur dalam tujuh dimensi (dimensi spiritual, fisik, emosional, sosial kemasyarakatan, intelektual, vokasional, dan lingkungan).","[32010026] Wilayah;
[10120066] Umur/Usia;",-,Indeks,-,,
10110013,Jumlah Anak Kandung,,"[K00093] Anak
Kandung;",,"Banyaknya anak (garis keturunan pertama) atau generasi kedua, termasuk anak yang lahir dalam kondisi meninggal di dalam kandungan (lahir mati).","[32010026] Wilayah;
[33220007] Jenis
Kelamin; [10420206] Status Kondisi Anak yang Dilahirkan;",-,Total,orang,,
10110014,Jumlah Anggota Rumah Tangga,,[K00110] Anggota Rumah Tangga;,,"Banyaknya orang, termasuk kepala rumah tangga, yang biasanya bertempat tinggal di suatu rumah tangga, dan dalam satu pengelolaan makan sehari-hari, walaupun sementara sedang tidak berada di tempat dalam jangka waktu kurang dari satu tahun.",[32010026] Wilayah;,-,Total,orang,,
10110015,Jumlah Cerai,,[K01637] Perceraian;,,Banyaknya permohonan perceraian yang sudah diputus di pengadilan.,[32010026] Wilayah;,-,Total,kasus,,
10110072,Jumlah Keluarga,,[K00829] Keluarga;,,"Banyaknya unit terkecil dalam masyarakat yang terdiri dari suami istri, atau suami, istri dan anaknya, atau ayah dan anaknya, atau ibu dan anaknya, atau keluarga sedarah dalam garis lurus ke atas atau ke bawah sampai dengan derajat ketiga.",[32010026] Wilayah;,-,Total,keluarga,,
10110021,Jumlah Migran Internasional,,[K01180] Migran;,,Banyaknya penduduk yang melakukan perpindahan tempat tinggal melewati batas wilayah negara dan telah tinggal,[32010026] Wilayah;,-,Total,orang,,
,,,,,atau bermaksud tinggal satu tahun atau lebih di negara tujuan.,,,,,,
10110073,Jumlah Migran Risen,,[K01182]  Migran Risen;,,Banyaknya penduduk di suatu wilayah administrasi yang bertempat tinggal di wilayah administrasi yang berbeda lima tahun sebelumnya.,"[32010026] Wilayah;
[10120066] Umur/Usia;",-,Total,orang,,
10110074,Jumlah Migran Seumur Hidup,,[K01183]  Migran Seumur Hidup;,,Banyaknya penduduk di suatu wilayah administrasi yang tempat kelahirannya berada di wilayah administrasi yang berbeda.,[32010026] Wilayah;,-,Total,orang,,
